site1,site2,distance
15,20,0.5626666666666666
15,21,0.7546666666666667
15,22,0.6506666666666666
15,23,0.8666666666666667
15,24,0.7653333333333333
15,25,0.7466666666666667
15,26,0.616
15,27,0.8
15,28,0.7386666666666667
15,29,0.7146666666666667
15,30,0.7706666666666667
15,31,0.96
15,32,0.848
15,33,0.4
15,34,0.6133333333333333
15,35,0.76
15,36,0.7066666666666667
15,37,0.8133333333333334
15,38,0.712
15,39,0.7733333333333333
15,40,0.752
15,41,0.7226666666666667
15,42,0.5653333333333334
15,43,0.6906666666666667
15,44,0.7066666666666667
15,45,0.7386666666666667
15,46,0.6813922356091031
15,47,0.7813333333333333
15,48,0.888
15,49,0.816
16,1,0.5893333333333334
16,2,0.736
16,3,0.7946666666666666
16,4,0.6133333333333333
16,5,0.936
16,6,0.904
16,7,0.6906666666666667
16,8,0.8426666666666667
16,9,0.6426666666666667
16,10,0.5786666666666667
16,11,0.5306666666666666
16,12,0.768
16,13,0.8986666666666666
16,14,0.9146666666666666
16,15,0.4026666666666667
16,16,0
16,17,0.7413333333333333
16,18,0.552
16,19,0.5973333333333334
16,20,0.5786666666666667
16,21,0.7626666666666667
16,22,0.704
16,23,0.8693333333333333
16,24,0.8053333333333333
16,25,0.7893333333333333
16,26,0.6026666666666667
16,27,0.856
16,28,0.7226666666666667
16,29,0.7173333333333334
16,30,0.6586666666666666
16,31,0.9253333333333333
16,32,0.8533333333333334
16,33,0.6266666666666667
16,34,0.632
16,35,0.7733333333333333
16,36,0.7333333333333333
16,37,0.744
16,38,0.6666666666666666
16,39,0.7066666666666667
16,40,0.7546666666666667
16,41,0.6746666666666666
16,42,0.6106666666666667
16,43,0.6906666666666667
16,44,0.712
16,45,0.7386666666666667
16,46,0.7054886211512718
16,47,0.8266666666666667
16,48,0.9306666666666666
16,49,0.776
17,1,0.6506666666666666
17,2,0.6053333333333333
17,3,0.6906666666666667
17,4,0.496
17,5,0.7786666666666666
17,6,0.7173333333333334
17,7,0.448
17,8,0.48533333333333334
17,9,0.31466666666666665
17,10,0.48533333333333334
17,11,0.68533333333333335
17,12,0.5546666666666666
17,13,0.648
17,14,0.7386666666666667
17,15,0.744
17,16,0.7413333333333333
17,17,0
17,18,0.5493333333333333
17,19,0.6
17,20,0.744
17,21,0.5413333333333333
17,22,0.6
17,23,0.6693333333333333
17,24,0.528
17,25,0.5493333333333333
17,26,0.49866666666666665
17,27,0.6693333333333333
17,28,0.5013333333333333
17,29,0.44533333333333336
17,30,0.6266666666666667
17,31,0.776
17,32,0.5306666666666666
17,33,0.5546666666666666
17,34,0.528
17,35,0.5386666666666666
17,36,0.6666666666666666
17,37,0.5013333333333333
17,38,0.49866666666666665
17,39,0.5573333333333333
17,40,0.43733333333333335
17,41,0.4266666666666667
17,42,0.5093333333333333
17,43,0.504
17,44,0.5733333333333334
17,45,0.41333333333333333
17,46,0.5100401606425703
17,47,0.49066666666666664
17,48,0.6693333333333333
17,49,0.5733333333333334
18,1,0.5146666666666667
18,2,0.8293333333333334
18,3,0.8746666666666667
18,4,0.30666666666666664
18,5,0.536
18,6,0.7386666666666667
18,7,0.30666666666666664
18,8,0.38666666666666666
18,9,0.392
18,10,0.536
18,11,0.5306666666666666
18,12,0.5093333333333333
18,13,0.5573333333333333
18,14,0.5093333333333333
18,15,0.5706666666666667
18,16,0.552
18,17,0.5493333333333333
18,18,0
18,19,0.4693333333333333
18,20,0.5386666666666666
18,21,0.512
18,22,0.3973333333333333
18,23,0.6773333333333333
18,24,0.536
18,25,0.5173333333333333
18,26,0.456
18,27,0.872
18,28,0.7653333333333333
18,29,0.504
18,30,0.43466666666666665
18,31,0.5946666666666667
18,32,0.7333333333333333
18,33,0.37333333333333335
18,34,0.5093333333333333
18,35,0.632
18,36,0.6426666666666667
18,37,0.5013333333333333
18,38,0.6533333333333333
18,39,0.6266666666666667
18,40,0.7013333333333334
18,41,0.5813333333333334
18,42,0.312
18,43,0.432
18,44,0.7093333333333334
18,45,0.632
18,46,0.4323962516733601
18,47,0.5786666666666667
18,48,0.8053333333333333
18,49,0.776
19,1,0.4746666666666667
19,2,0.736
19,3,0.8213333333333334
19,4,0.5786666666666667
19,5,0.7146666666666667
19,6,0.6346666666666667
19,7,0.39466666666666667
19,8,0.624
19,9,0.496
19,10,0.5386666666666666
19,11,0.3466666666666667
19,12,0.344
19,13,0.5413333333333333
19,14,0.728
19,15,0.6266666666666667
19,16,0.5973333333333334
19,17,0.6
19,18,0.4693333333333333
19,19,0
19,20,0.304
19,21,0.44266666666666665
19,22,0.23733333333333334
19,23,0.5573333333333333
19,24,0.408
19,25,0.41333333333333333
19,26,0.344
19,27,0.7786666666666666
19,28,0.7573333333333333
19,29,0.608
19,30,0.4613333333333333
19,31,0.8133333333333334
19,32,0.6693333333333333
